Mois        Inflation
 1/1/1993         3.0
 2/1/1993         3.1
 3/1/1993         3.2
 4/1/1993         2.6
 5/1/1993         2.3
 6/1/1993         2.2
 7/1/1993         2.3
 8/1/1993         2.6
 9/1/1993         2.7
10/1/1993         2.4
11/1/1993         2.1
12/1/1993         2.3
 1/1/1994         2.6
 2/1/1994         2.4
 3/1/1994         2.2
 4/1/1994         2.4
 5/1/1994         2.4
 6/1/1994         2.3
 7/1/1994         2.1
 8/1/1994         2.2
 9/1/1994         1.9
10/1/1994         1.8
11/1/1994         2.1
12/1/1994         2.2
 1/1/1995         2.4
 2/1/1995         2.3
 3/1/1995         2.4
 4/1/1995         2.3
 5/1/1995         2.6
 6/1/1995         2.7
 7/1/1995         2.8
 8/1/1995         2.7
 9/1/1995         3.0
10/1/1995         3.0
11/1/1995         2.9
12/1/1995         3.1
 1/1/1996         2.9
 2/1/1996         3.0
 3/1/1996         3.0
 4/1/1996         2.8
 5/1/1996         2.8
 6/1/1996         2.8
 7/1/1996         2.7
 8/1/1996         2.7
 9/1/1996         2.7
10/1/1996         3.0
11/1/1996         3.1
12/1/1996         2.8
 1/1/1997         2.6
 2/1/1997         2.4
 3/1/1997         2.2
 4/1/1997         2.1
 5/1/1997         2.1
 6/1/1997         2.1
 7/1/1997         2.4
 8/1/1997         2.3
 9/1/1997         2.2
10/1/1997         2.2
11/1/1997         2.1
12/1/1997         1.9
 1/1/1998         1.8
 2/1/1998         1.8
 3/1/1998         1.9
 4/1/1998         2.1
 5/1/1998         2.2
 6/1/1998         1.9
 7/1/1998         1.7
 8/1/1998         1.6
 9/1/1998         1.7
10/1/1998   1.6
11/1/1998   1.7
12/1/1998   1.9
 1/1/1999   2.0
 2/1/1999   1.9
 3/1/1999   2.1
 4/1/1999   2.0
 5/1/1999   1.7
 6/1/1999   1.8
 7/1/1999   1.7
 8/1/1999   1.6
 9/1/1999   1.6
10/1/1999   1.5
11/1/1999   1.5
12/1/1999   1.5
 1/1/2000   1.2
 2/1/2000   1.2
 3/1/2000   1.0
 4/1/2000   0.9
 5/1/2000   1.0
 6/1/2000   1.2
 7/1/2000   1.2
 8/1/2000   1.0
 9/1/2000   1.3
10/1/2000   1.4
11/1/2000   1.5
12/1/2000   1.2
 1/1/2001   1.2
 2/1/2001   1.2
 3/1/2001   1.3
 4/1/2001   1.5
 5/1/2001   1.9
 6/1/2001   1.9
 7/1/2001   1.7
 8/1/2001   2.1
 9/1/2001   1.7
10/1/2001   1.6
11/1/2001   1.2
12/1/2001   1.4
 1/1/2002   1.8
 2/1/2002   1.7
 3/1/2002   1.7
 4/1/2002   1.6
 5/1/2002   1.2
 6/1/2002   1.1
 7/1/2002   1.4
 8/1/2002   1.3
 9/1/2002   1.2
10/1/2002   1.5
11/1/2002   1.6
12/1/2002   1.7
 1/1/2003   1.4
 2/1/2003   1.6
 3/1/2003   1.6
 4/1/2003   1.5
 5/1/2003   1.3
 6/1/2003   1.2
 7/1/2003   1.3
 8/1/2003   1.4
 9/1/2003   1.3
10/1/2003   1.3
11/1/2003   1.3
12/1/2003   1.3
 1/1/2004   1.5
